date,tem,hum
2022-08-24 7:00,22.4,84
2022-08-24 8:00,22.5,83
2022-08-24 9:00,21.9,85
2022-08-24 10:00,22.6,77
2022-08-24 11:00,23.1,70
2022-08-24 12:00,24.3,68
2022-08-24 13:00,24.1,70
2022-08-24 14:00,24.1,67
2022-08-24 15:00,24.0,67
2022-08-24 16:00,24.0,69
2022-08-24 17:00,24.4,69
2022-08-24 18:00,23.3,70
2022-08-24 19:00,22.9,71
2022-08-24 20:00,22.8,72
2022-08-24 21:00,22.5,72
2022-08-24 22:00,22.0,75
2022-08-24 23:00,21.0,81
2022-08-25 0:00,20.7,84
2022-08-25 1:00,20.4,86
2022-08-25 2:00,20.1,88
2022-08-25 3:00,19.9,90
2022-08-25 4:00,20.6,86
2022-08-25 5:00,20.2,88
2022-08-25 6:00,20.4,88
2022-08-25 7:00,20.7,88
2022-08-25 8:00,22.4,84
2022-08-25 9:00,23.7,78
2022-08-25 10:00,25.5,72
2022-08-25 11:00,25.9,71
2022-08-25 12:00,27.0,69
2022-08-25 13:00,27.8,59
2022-08-25 14:00,28.5,59
2022-08-25 15:00,26.1,73
2022-08-25 16:00,27.0,66
2022-08-25 17:00,24.5,71
2022-08-25 18:00,22.9,70
2022-08-25 19:00,21.2,62
2022-08-25 20:00,19.0,76
2022-08-25 21:00,19.4,83
2022-08-25 22:00,19.2,84
2022-08-25 23:00,19.2,84
2022-08-26 0:00,18.9,84
2022-08-26 1:00,18.9,84
2022-08-26 2:00,18.4,83
2022-08-26 3:00,17.9,88
2022-08-26 4:00,17.3,91
2022-08-26 5:00,16.9,91
2022-08-26 6:00,16.8,92
2022-08-26 7:00,17.8,87
2022-08-26 8:00,20.0,76
2022-08-26 9:00,22.2,65
2022-08-26 10:00,24.2,62
2022-08-26 11:00,25.9,59
2022-08-26 12:00,26.6,57
2022-08-26 13:00,27.3,55
2022-08-26 14:00,28.0,50
2022-08-26 15:00,28.0,52
2022-08-26 16:00,27.5,55
2022-08-26 17:00,27.9,52
2022-08-26 18:00,27.0,56
2022-08-26 19:00,25.1,66
2022-08-26 20:00,24.1,69
2022-08-26 21:00,23.6,72
2022-08-26 22:00,22.7,75
2022-08-26 23:00,21.6,81
2022-08-27 0:00,21.4,83
2022-08-27 1:00,21.4,83
2022-08-27 2:00,21.0,86
2022-08-27 3:00,20.9,86
2022-08-27 4:00,21.0,85
2022-08-27 5:00,20.7,87
2022-08-27 6:00,21.2,83
2022-08-27 7:00,21.0,87
2022-08-27 8:00,21.1,69
2022-08-27 9:00,21.2,64
2022-08-27 10:00,22.5,48
2022-08-27 11:00,24.1,43
2022-08-27 12:00,24.6,34
2022-08-27 13:00,25.0,34
2022-08-27 14:00,25.4,34
2022-08-27 15:00,26.4,37
2022-08-27 16:00,25.7,37
2022-08-27 17:00,25.1,40
2022-08-27 18:00,22.7,51
2022-08-27 19:00,21.1,56
2022-08-27 20:00,19.5,64
2022-08-27 21:00,18.7,68
2022-08-27 22:00,18.3,71
2022-08-27 23:00,17.9,70
2022-08-28 0:00,17.2,76
2022-08-28 1:00,16.6,81
2022-08-28 2:00,16.0,84
2022-08-28 3:00,16.2,84
2022-08-28 4:00,15.7,86
2022-08-28 5:00,15.5,88
2022-08-28 6:00,15.5,89
2022-08-28 7:00,16.5,88
2022-08-28 8:00,18.6,79
2022-08-28 9:00,20.9,68
2022-08-28 10:00,23.1,55
2022-08-28 11:00,25.1,50
2022-08-28 12:00,26.2,46
2022-08-28 13:00,26.4,40
2022-08-28 14:00,27.4,36
2022-08-28 15:00,28.1,38
2022-08-28 16:00,27.8,39
2022-08-28 17:00,27.8,40
2022-08-28 18:00,26.5,42
2022-08-28 19:00,24.7,48
2022-08-28 20:00,23.0,56
2022-08-28 21:00,21.8,63
2022-08-28 22:00,21.1,68
2022-08-28 23:00,21.6,64
2022-08-29 0:00,21.7,56
2022-08-29 1:00,21.7,48
2022-08-29 2:00,21.2,55
2022-08-29 3:00,20.9,59
2022-08-29 4:00,20.7,59
2022-08-29 5:00,20.7,59
2022-08-29 6:00,20.2,62
2022-08-29 7:00,20.0,66
2022-08-29 8:00,20.2,69
2022-08-29 9:00,20.6,71
2022-08-29 10:00,21.2,70
2022-08-29 11:00,21.4,71
2022-08-29 12:00,19.6,90
2022-08-29 13:00,19.7,88
2022-08-29 14:00,19.5,87
2022-08-29 15:00,19.2,89
2022-08-29 16:00,19.1,89
2022-08-29 17:00,19.8,88
2022-08-29 18:00,19.6,90
2022-08-29 19:00,19.2,87
2022-08-29 20:00,18.7,87
2022-08-29 21:00,18.6,88
2022-08-29 22:00,18.7,88
2022-08-29 23:00,18.5,86
2022-08-30 0:00,17.7,85
2022-08-30 1:00,17.6,87
2022-08-30 2:00,17.5,87
2022-08-30 3:00,17.7,88
2022-08-30 4:00,17.7,88
2022-08-30 5:00,17.8,89
2022-08-30 6:00,17.4,94
2022-08-30 7:00,17.5,94
2022-08-30 8:00,17.8,94
2022-08-30 9:00,18.0,94
2022-08-30 10:00,19.0,91
2022-08-30 11:00,19.4,90
2022-08-30 12:00,20.0,90
2022-08-30 13:00,20.2,89
2022-08-30 14:00,20.0,93
2022-08-30 15:00,19.9,94
2022-08-30 16:00,20.4,94
2022-08-30 17:00,20.3,94
2022-08-30 18:00,20.3,93
2022-08-30 19:00,20.2,92
2022-08-30 20:00,20.0,95
2022-08-30 21:00,19.9,95
2022-08-30 22:00,19.9,96
2022-08-30 23:00,19.9,96
2022-08-31 0:00,19.9,95
2022-08-31 1:00,20.0,96
2022-08-31 2:00,20.0,96
2022-08-31 3:00,20.0,96
2022-08-31 4:00,19.8,96
2022-08-31 5:00,19.8,96
2022-08-31 6:00,19.7,96
2022-08-31 7:00,19.7,95
2022-08-31 8:00,20.2,95
2022-08-31 9:00,20.9,92
2022-08-31 10:00,20.9,92
2022-08-31 11:00,21.3,91
2022-08-31 12:00,22.1,84
2022-08-31 13:00,22.5,82
2022-08-31 14:00,22.4,83
2022-08-31 15:00,22.9,82
2022-08-31 16:00,23.0,82
2022-08-31 17:00,23.0,80
2022-08-31 18:00,22.2,83
2022-08-31 19:00,21.7,88
2022-08-31 20:00,21.0,92
